,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_temp,average_watts,kilojoules,device_watts,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,average_heartrate,max_heartrate,max_watts
0,2,Middagrit,15020.5,2182,2235,30.0,Ride,,2657136191,garmin_push_3996511694,2818187566.0,2019-08-25T09:01:45Z,2019-08-25T11:01:45Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[52.08757, 5.669251]","[52.175153, 5.61682]",,,The Netherlands,52.08757,5.669251,0,0,0,2,0,False,False,False,True,only_me,False,b5474373,False,2818187566,6.884,13.2,25.0,90.3,197.1,False,False,False,False,60.4,22.2,0,0,False,,4591892,1,a2657136191,ij||Hygra@Fd@HFhACtBOtAGpAOZ?F@HLNx@b@|DDPJTF\VnB`@lEJdBLjAVrDTbBTjADl@Ed@kH`Mc@z@mC~EgB`CoAv@i@h@_CjBwBvAuHjFILkFvDe@`@iAxAgF|Hm@t@gA`BS`@w@bA]d@{@hBgC~Fg@~@Sl@i@z@_ArBqCrGsArC}@zBuBpEyBhFQTsCdDaMjOqGtHgC~CIVZnDF|GR`OF~GE~DD~@n@tDBt@EpCYbCMZaApAsBfBiFzEoAdAaCxBm@r@Q^}@xCmAtE_AlEiAfE}HpX_G~SOb@U\gBzBe@`A}BjIs@bDcA~EeAhEsIj_@gHxZMl@E\MTqBpAmAXwHZo@Pa@NyAbAeApA{@bByHjPmDxG]j@GF]DGBGLKRIn@Ul@]b@i@`@{CjBYL[D[?i@Mc@S[s@GCICc@Lu@DuF_B]Yq@EcEgA}@_@e@[{@c@Y_@IGQESFW@KAwDmAgBu@sA}@QSSk@GMGEWAQPG\@dAERIHWF_BFiC@cAJgBvAkBnAyAr@I?c@B_@OuE}DeAw@q@EK@mAh@qDvBKDaEtBk@LIQ[oBCKIIq@\_@F}Eb@{DXuAPcBB{@Sc@Uk@c@aF}FiAsAyBuC{HoJoDuEeAy@kMeJm@k@_FoDqHaFo@UsI_Ge@UgBs@kBe@yAI_@@]I[@YRk@NyCbAkA\kCx@}@TcJhCc@FY?kANkBd@WBe@Ho@d@yAp@kLnEmAb@WDW?a@DQIB]P}@TaBCsFCwAEyDGoAK_F[qJWoKSyEKOG?oCD]I[YEKE]GyAIy@}AeDG_@k@qKKa@GOoBeDK]aB{J]}@OOWCc@@e@CWIUS]]gC}Do@s@O],2,,,,
1,2,Middagloop,9202.5,3493,3499,19.1,Run,,2647501838,garmin_push_3984883594,2808135084.0,2019-08-24T11:09:42Z,2019-08-24T13:09:42Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[52.017419, 5.563656]","[52.015072, 5.566383]",,,The Netherlands,52.017419,5.563656,8,0,0,6,0,False,False,False,True,only_me,False,g3971767,False,2808135084,2.635,4.2,,,,,True,False,True,9.3,5.9,3,0,False,121.0,4591892,1,a2647501838,ysn|Hys}`@SAAIGAYQ?Ek@c@I?KWQK@EeAcAUEcAFUC_Bo@g@_@i@VI?]g@]q@QNe@fAMn@Eh@ELE@y@QkFCKGAGD}APcBl@iCRi@l@mANq@\iAJs@DIPFp@f@x@r@vJtJl@h@JDJa@@cABWp@}BJm@AOG]c@g@Cg@@Sf@eAJ]Ji@TqB\iALS`@ITHb@\\Hp@i@L?PPNTFd@?h@[xAMb@{@|AE`@Lx@Z\r@f@dABv@Tb@Zz@z@N?FDi@`B[nBKLQFq@UGBK\WjAm@tBYj@[`@s@k@u@e@E@MZI?a@]o@y@gAu@k@k@i@EJ?_@DMCq@e@{Ay@I?q@^I?u@kAIEGBORKTUr@QlAILy@Sg@AaEBICCUD_APkB`@mBZiAr@gBTeAPg@Nw@BGhBtAjBtBXRlA~AbAbAj@^tBpBF?Hg@BwAt@{BN{@CSQc@Y[GSEe@Ne@R[Vo@Ji@HaAT_AL]LSXOJCz@f@XHJE^_@P?NHLVJt@?R[|Ag@fAU^KVEn@F^Xd@d@`@p@Tl@B\P\Fd@^b@h@TDFHANSj@W|ASj@MTODOCSMMDcBvF_@z@KA}AuAI?QXGA}DyD_@Aq@LyCeBi@VYFo@oAGCQN]t@O\UhAGBiAO}EBIGAGAw@Dk@VaB`AcDVs@f@eBTq@TcAFElAz@d@b@r@|@z@z@fAlAfCvBn@t@VLf@j@DGD[H{A`@uAXqA?OEKk@cAIa@@OFSp@_BViB^eBT[PIP@r@f@ZHNCn@e@P?LJL\B\Gh@q@~Bo@nAEd@B\DPdAfA^L|@J\R\FlAhAXDBHCLWr@a@dBWh@QJSCUKIHaB~F]n@MDKGsAqAMLGLGA{D}D]A_@JYAu@[}A}@YBQFONMAIGSu@GM[F_@j@O^WhAKJ_AMuDFs@EEM?}@PiBTiAr@eC`@gAj@kBReAFILFfBrA~BxBTZx@t@b@f@b@\xA`Br@j@LPHAF_@DgAT_A\aAHa@Bc@EWm@kA?a@n@kB`@gCXqAJQXQP?f@\b@JVIPSTANJP^Hh@E^e@rBi@`AGX?d@BPTf@\h@r@`@r@JpAn@VVTPZHXBLE^cA,2,74.6,166.7,178.0,
2,2,Middagrit,36564.3,3860,3860,77.0,Ride,,2657136096,garmin_push_3996511606,2818187494.0,2019-08-24T10:04:38Z,2019-08-24T12:04:38Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[52.005023, 5.559031]","[52.016743, 5.564252]",,,The Netherlands,52.005023,5.559031,9,0,0,16,0,False,False,False,True,only_me,False,b5474373,False,2818187494,9.473,15.6,26.0,199.3,769.5,False,True,False,True,13.8,5.0,3,0,False,155.0,4591892,1,a2657136096,kfl|H}v|`@fTdUlJbKJEam@qo@yDsEc@}@}@g@}@{@mL{LyDyDcFmF[e@Uk@[]c@Ma@YwA}AeCyBy`@cb@eBwBaAaAOTNZxFpF~FlGjX|XrDjEJl@At@GViE~JKFMEWa@Im@Z}@He@E[GBKNOl@G`ARb@T\VJJGtEqK^U`@?p@l@bBlBxOrPrFxFl@nA|AfAfF~Etg@zi@vAxALGAGkJuJ{^m`@{GyHc@aAq@W{@w@aY}Yk@s@c@_AaAi@kFcFy^{_@mFcGG?IFF^PXvEhEdSrSdMxMhD`EFTDt@Ot@_EhJWRKEYg@CSd@eBEa@KAGJ[z@?p@DVJPZ\XBTa@dEqJLOPEb@?PJrC~C~UxVh@p@`@z@nAr@bF~Edk@lm@DMok@ym@oFkGc@{@MMo@W][cV_WiBiBk@q@q@mAaAg@aG}FgUaVwBsBeFwFwCkDSIGFALBJ`AfAvEhExA`BhEjEnTjUjDzD|@v@Rl@@x@Mv@aDfIa@t@ODMCMOQk@?W\uAAc@MBUd@Oh@AXFTTd@XZL@VYlE_K^Ud@Bl@h@|W|XbBjBb@z@~@f@hFbFfDtDdFjFl^h`@PH?GMOyKwLoJ}J}R_TaF}Fe@}@k@[}@w@uYqZ_@e@_@y@SQ}@i@uGmGi^i_@wDqESGGDBb@LLpHfH~UxVzJpKz@v@Pl@BZA`@GZaEvJWVWQMSEO@WZ{@Ai@WKIDIRERCp@Nh@f@n@NDRYvBeFpAqCLQ^ON?ND^XrB~B|CxC|QxRX`@`@|@LL|@d@~DxDdl@nn@HBFEsGaHeEgEk^g`@wDqEa@y@[Y_@M[Yi[k\a@}@qAu@iAkAsCiCmRiSyJ_KuFoGIGGBEXXb@xEnEhBjBd\`]zEhFNv@Ap@GX_EvJUX]_@IQCQLi@Pe@DSAQIKI?QTENOf@ATDVHP^j@VHTWfEaK^Wb@@NFd[h\V\^t@XVj@VtEpEzX`ZnQpRXRASGIcPsPyP_R_Ay@cAmAqDuDoEkFk@iAMM}@e@yF}FmE{EaMiMm@qAMMs@[mEgEq_@m`@eFaGUKIFALPXpHlH|UnVzL|MLVDn@AXQt@iBhEsAfDKFIAWUIUAU\qA?QQKGHk@dBi@\aAxBKLSFm@[WJm@M{@rCC?,2,,168.9,182.0,
3,2,Avondrit,17702.5,2580,2989,23.0,Ride,,2657135989,garmin_push_3996511477,2818187397.0,2019-08-22T16:39:19Z,2019-08-22T18:39:19Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.218345, 6.573398]","[53.218896, 6.574869]",,,The Netherlands,53.218345,6.573398,7,0,0,1,0,False,False,False,True,only_me,False,b5474373,False,2818187397,6.861,10.5,20.0,99.5,256.7,False,False,False,False,5.2,-3.8,0,0,False,,4591892,1,a2657135989,ukycI{sbg@cBv@k@f@[^uC`CuAzAWn@cAxE_A`D[nAm@zCS~B?VH~@V|Ax@hDvAnGnCbPjBlJbBnHRb@TZZh@DRJdBBhADXVLFELUFEp@Qn@KTM`@KHPBhAJ|BrEd[vCxQLXFDNGlBeE`@eAl@kA`AcCD@LVDN?b@Ej@?j@BV^lBj@pDrDbWJbCRfBFv@AJ[x@@f@FL\PDXDnHC`AOtDSrC?zCCp@Ip@e@jCQf@y@bE}@~G]~EKrCg@hUMrCk@t_@_@zKSjEKzAk@nES`Ca@~DkAlJMv@Yd@I^Ad@Fd@?Rg@~ESfDOhBe@jD{AhJuDbTo@zBq@rCUnC@n@LzA@`ADv@FL\Bx@ClA?XDt@BvBKjAF~@Nd@?XBHH|@rGpArKn@rDL~A`@jChCbSBj@I~@i@nBKt@An@Bf@F~@Hd@DRT`@XLL@PAvAYXBbAVj@@h@NLHTXRh@TxAf@dIb@|EvApM`@`D~CfSd@nDXzCNxB~@pGB@BE{@wFWyCc@sDg@kDwAcJ}BgPMwBcAyJWeE?g@BQHOVKf@Kd@O|@e@|DcBvGeDr@a@dKuEjAq@zAu@vA_@jACvALLAVSHQBUHkCIgB?m@DoBFy@As@^cSJcDVwDZqDt@kG^sBpAqGnCaMh@sBh@mCToBP_DL{ANcAdBkJ?i@Me@i@y@]aAGIKESOGWNu@Bi@@CXIVNL@TGdA}@h@y@h@}@FO`AsCjAcE`A}EvAqKj@qDPURDJEFMLqADmBL_AbDoSfA}Hf@gF@WEm@@m@j@{FN{DTsDFaDFoJ@aSIi@SYKCK@WDe@U_@a@ICaDVeEl@[?MAKGWWUg@ESm@oFYYw@Fi@?s@Qa@]IMi@}@Sc@iAoGc@_Dk@qBc@gAkAyBe@gAo@_C_@mBe@}DQ{@YuB]mBuAaHwA{H_B_IsBaLaC{Lk@cDmAeGqD{UMoAEcAS{AeA{GQaBYcBI{@Mk@kAiI[iC_@eCi@_Ea@kD_AsFEg@EKGGQBoCjAkErBq@NQ?SHQRIAa@oB{@eF]cBMa@g@eAs@eBMK_@F[TuAdB[\IBGGO_@cDsIGIII_@KaA_A[?OVCN,2,,,,
4,2,Ochtendactiviteit,10.4,13,13,0.0,Workout,,2640402035,garmin_push_3976305938,2800762430.0,2019-08-22T06:38:00Z,2019-08-22T08:38:00Z,(GMT+01:00) Europe/Amsterdam,7200.0,,,,,The Netherlands,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,2800762430,0.8,1.5,,,,,True,False,True,,,0,0,False,,4591892,1,a2640402035,,2,57.4,134.6,137.0,
5,2,Avondrit,33509.0,3805,3886,33.0,Ride,10.0,2635873462,garmin_push_3970978297,2796046575.0,2019-08-20T16:05:21Z,2019-08-20T18:05:21Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.212865, 6.558029]","[53.218889, 6.574737]",,,The Netherlands,53.212865,6.558029,23,5,0,4,0,False,False,False,False,everyone,False,b5474373,False,2796046575,8.807,16.0,17.0,177.1,673.9,False,True,False,True,6.0,-2.8,15,0,False,61.0,4591892,1,a2635873462,kcxcIsz_g@MrAWr@oCjF[f@cAAOL]tMUzDOb@gApA`AbG?p@_@`C?xDFt@`EjWv@hGb@vFA`@Sh@Cl@Pp@Z@B^BvGe@|JExFk@`DYz@i@fCkAfI[hEaAv^i@l`@{@`ToA|LeBxNIj@e@hADnAEn@uAlOqBtMiD~RiBnHUjCRzFHV~IKlFd@|BhT`@nBhEt]Cp@m@jCKhAJ|BZ|At@fOEhAc@h@gI`Ao@]o@uB][_@JgB`EsAbB}B|BwCbByAh@sBXqAMmAw@mAqBiByDm@g@a@?y@n@eDnIw@t@mAb@cCFaAV[ZsCxEw@p@aALcC]qAB_Bf@iBfAqArAi@nAWbA{@bIwBlI]tC?bJ[hGiA|MDdGz@`R@|DkBbKO|BD~Hr@nLClCrCnXNt@pBnF|CzLdA`GTrDN`A^fArCtFd@|AtBjVEfAa@|@C^Hb@vAdChB~DlCnHV~ATrH`@hCnDxMvA`CvAjArAbBh@vAl@fCt@dEx@zBJr@JfEVhDtA~MLl@dBtD`ArDzIdYl@pEd@|I\vDlCnK`BpMSXiBR{TnLoIxGg~AtlAcBpAkA^w@hAo@j@qq@tg@uRbSkOnPkAdA[@O]@o@~CaXVeENuGK_Iy@kKmBeOeE}VoCsQGiABaChBoAzA{AvVic@d@q@d@SNUEo@o@aAGk@B{C}Cul@As@L]nKHvAErEs@nA[dBmAvBmBNY@SyDm^WmBQi@^eB?mAoEyaAg@oFuDeUaAwJe@qMqA}o@PeNX}FfDoi@zA{QpCkWn@uEdC}MdDqMn@{CVkBRwNl@iORuQHoCXsDlBqOvCmPfDkPR[d@WRa@d@aEQuBD{@hQgdAjA{HxIsf@rAuEvByJNYbAaAHw@KkBD_A~AqJbAwIPk@vAiCBYIKs@Wz@n@_@z@^u@AUiAo@e@K}@i@SBqAgHF]v@s@z@}A~AwBNoDFOf@ExBr@l@ItAu@dMeKfQyLzAeBb@OiAoC]_CGeAL?Zr@b@G~JkHtAcBv@_BpBsAhAiC`B_CjAyAtAy@z@kA`AgCD_AO{BFq@|AOr@]`DaGz@eDp@cGFuDEiBWgBm@iHOwJBgBx@iHRgC@mDLWj@c@GmCFcALe@r@eAMm@}@bA]JYKe@sAmCkKkEySmC}NUwAO}B^qGj@_BjAkFb@uAhEoE|AgAtB_A,2,,146.2,185.0,
6,2,Middagloop,6328.9,2306,2332,11.8,Run,,2635881325,garmin_push_3970979126,2796047275.0,2019-08-18T10:59:02Z,2019-08-18T12:59:02Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.219396, 6.586981]","[53.221897, 6.573194]",,,The Netherlands,53.219396,6.586981,0,0,0,1,0,False,False,False,True,only_me,False,g3971767,False,2796047275,2.745,8.1,,,,,True,False,True,3.5,-2.1,0,0,False,49.0,4591892,1,a2635881325,elycIsoeg@?IEKEWIM?[CKGA@GMUMw@EG@UIIAI@IEA?O[iAGi@AsAIs@GMMMOWU{@KKI?GQYsC[yAEi@KS[{AOc@Sk@SYM[UwBQaASk@QEQFiC`Bq@n@c@ZI@KQuA_FIGQ?MHDb@CPQZgA`A]\aCnBEJBDCBFTCF]TGBIJk@RM@KAEGQy@OYOUSa@Eq@O_AUy@g@oAGc@GIIAWRc@d@_A|AcC|COXIb@GHcAKMBSXOZSXAJE?KEaAkBIECB]XkA~ASNW\g@`ASv@Y|@Kt@Sn@Sj@cArB_@rAYx@[f@MXiAzAWRs@f@cBt@{@d@{@v@s@j@MDO@e@n@g@d@e@^O\Wd@{@lA]r@k@n@{@dCo@xAs@lCIj@m@pBMl@IVKbAKXGd@Bn@Ix@GvBDh@At@Bp@Aj@Bf@Fn@Bh@DNDHt@n@`@XXV\PLBNHf@`@\RnAbA`AdAZPJNXLNXVTXd@LZLj@Pf@@Nj@fB^z@L`@PTNd@`@n@F\\l@FV^r@@JH^?DHVDTR`@N^JLHX?HBNRh@d@`AH\RXPf@JPPNLh@LTFP^h@NJCBBB@FCFBBCFFJALNZB@AXD^CRDPB?Jr@NRBNTNPXJTV~@~@zBFDFCHHH|@LZXlAZt@Tb@Pj@P^RXLf@NVNj@Xn@V|@FLDBDCf@a@NSXq@f@s@^u@Xa@HG\Il@[JAPFf@j@j@z@d@Z\\HBB?b@c@^u@X}@Tg@`@sALSN_@RYXiAPMDIVq@f@aAn@eB`BcD|BwGfAoCJ[^{@J[|@qB^gA,2,73.8,153.3,173.0,
7,2,Middagrit,34916.9,3998,4151,46.0,Ride,10.0,2618756217,garmin_push_3950138463,2778194113.0,2019-08-14T15:19:07Z,2019-08-14T17:19:07Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.219965, 6.576075]","[53.218905, 6.574717]",,,The Netherlands,53.219965,6.576075,23,12,0,1,0,False,False,False,False,everyone,False,b5474373,False,2778194113,8.734,11.7,17.0,163.5,653.6,False,True,False,True,14.6,-7.8,12,0,False,67.0,4591892,1,a2618756217,woycImkcg@cBpBaGxJyPpb@IDOQ_I{UYQa@BURoArB}C`EqIpMc@b@Ql@u@nA[`BY`AcHxRyAtIeCfMgBxKEpAM\yA^cRtHsCJeBQaA@OSSaEBwKLeAC]QMsJbCoBr@wP|GwKrFyJ|D[f@IZG|ASzABbDDPfE`AxLdDb@d@Bd@gE|Ria@npBSj@cCnDqA`@_@RY`@u@lCe@tDm@nDWf@k@d@cLpA_@OY_@cA}ByAcC_DyAq@HaFxI}KtKi@r@sCxGqAnCaAzAsOrSsDbGwBvCKTGx@LdBAr@]|AoAdDc@p@aEfEc@`AoA|H]~Ci@dA_@fDY\yBZo@b@Wf@Gt@Hp@jCfJbCbHLn@FjBH`VJfEX|DP`Al@dBrHvOtAfBx@^xFj@nG|AxFtCbCz@bEhCv@ZRXFh@wArOuA`KMxD\bE`BvHdBpFb@bCFt@?lC{@~f@QhB_@zAK|B]rAEt@v@zFD~@WzUK~@iLfAw@GaGiCuBWe@Ha@\[f@mCxIgAtCgEjFa@L_@MUi@s@cH{ByNuEcWs@}CmA}BuJ}M_FuG[M{CvAqAb@}Kz@oE~@w@H}Ae@kM_BuA}@mEsDaE\gBB{HKeCSsGpCm@x@a@RkACkA_@uAw@c@?[\q@hG[nAqCfE_BhBgAZc@E_Bs@}C{BgBkCqAuGUg@_@OmClAq@z@Ul@w@dDy@pAaA~@aBx@a@n@gAtCS\YLiGTyFjAoGBeAJwC~@WGU_@SyDMi@UWYEeFj@eElBeA|@WKGOYkCSuEj@}f@UoCsAoKRgAr@oAp@g@b@Oz\u@hh@qKnFi@jCgArJaBpa@cDt`@cAzx@bDhk@~D`BZ`@\tAxBb@b@XH~@UNWQmDH}Cx@aG\iDjBqU~Ewx@nAyOAkAFo@HOXMvC`A^?XWf@uAZc@`HqDj@c@`AiAhAsCbDoJ~H}Q~G}Sf@q@bx@sq@BUMeAwFiVcB_IAm@zCiBra@mWpDmB@]kEwV_@kD@YNe@vD{BhCgAr@e@xY{LbAu@fCmC|D{A`FoCxP}N~CkBpA}ArByEd@i@j@I~DlAnBPnBKrBc@lHeCJW}@oHQ}BOuKXgEx@uGEcDNc@h@_@GyD^eAd@i@DUGYOO_BfA]OGWuC{L}Hea@w@}GCgANgE`AuCpAmFJQpEkEfBmAbEyB,2,,147.9,173.0,
8,2,Avondloop,6301.0,1846,1846,12.2,Run,0.0,2615924556,garmin_push_3946709154,2775258059.0,2019-08-13T16:33:10Z,2019-08-13T18:33:10Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.218882, 6.576663]","[53.221344, 6.574537]",,,The Netherlands,53.218882,6.576663,0,7,0,1,0,False,False,False,False,everyone,False,g3971767,False,2775258059,3.413,4.8,,,,,True,False,True,4.1,-2.1,0,0,False,63.0,4591892,1,a2615924556,q~xcIsucg@LUd@_@NId@m@EMB_AQu@ISe@{AIc@Gc@Uk@@WAADOUc@Qy@i@iBMo@Se@Kq@uAwEe@cCeAuDKg@Su@Mk@WyAK]]{AMkA[}Aq@_CKo@Ma@Kk@Sy@Gg@]y@W}@IMIg@Gk@So@BOG]Mc@AUKa@YeBo@uCSu@Wc@UWUmACa@QcAWo@IIC?EF_A`AaAt@k@j@W`@KBGECGWsA[wAG_@IMEAE?MFmCrCwAhA_@d@I?{@p@c@XeDrCk@j@]t@m@h@{@l@MAi@SQQKM]gBcAcDE_@Ba@EOm@MK@gA~AEACEu@{AIIC?m@h@e@x@QP_AxA{@rBu@~BeAdC]pAa@|@Y`AYl@o@r@y@t@gCvAy@j@eAj@kAh@UPuAxAKFORUd@_A|AgB`EyArD_@fAiA`EUjAKr@Gz@EtB@nBXfIBFZZbAl@TTxAf@JTl@d@X\PNNDTNTR`@d@HDRV`Al@Z^NVd@fAz@jCb@x@HJJb@p@zANl@R`@Rv@|@lCPh@R\Lh@NZJb@Vz@b@z@Nf@\l@d@dBXh@Nj@Tj@?JFXL\PVJTp@`Cl@zAVx@PXPHLPDT?d@DPZn@Tl@p@tB^|@Tb@jArDBDD@j@w@\}@PYPe@b@w@XSn@SZQB?JDh@t@XVR^b@XTHF?`@XPGLOd@aAt@qBPo@Pw@JUFCLSzA}CV]z@yBt@aBTu@h@uATcAJY|@oBd@{@VgAn@_BHYd@gA|@iBbAyC\m@Rw@@[,2,79.4,165.2,178.0,
9,2,Ochtendrit,99399.5,13507,21618,440.0,Ride,10.0,2604260732,garmin_push_3932336400,2763089931.0,2019-08-09T06:53:20Z,2019-08-09T08:53:20Z,(GMT+01:00) Europe/Berlin,7200.0,"[50.699862, 7.09153]","[50.860784, 6.057479]",,,The Netherlands,50.699862,7.09153,2,15,0,3,0,False,False,False,False,everyone,False,b5474373,False,2763089931,7.359,13.9,22.0,124.4,1680.0,False,False,False,False,194.0,96.4,1,0,False,,4591892,1,a2604260732,cimtHaahj@vCuG`SvIbEdE|HtQ{BxO}MnCdAzI{GdHGhAyQd@uEiBaDhFuJxGaI`RkLdFoH|N{ExBWtHx@hCaCx[_Jxn@w@lCoL`NwF~JjAhU|GtOtA`NgAlVwBvQ@~LnCbRtNtb@|BnCnNtBvGvHvS|IbM|LhJrPnCbSzIdNlLrJhIrLfHpRxGjWlHvLpXtxAw@z@dDxf@bT~jAfP~j@nBvu@E|m@p@fJuAeQei@xFkHhDoNbCoHbEoGrKkPlPiQvD}UxJ_a@`\kX`[{LtF_FlIf@|UeDhAcEk@mKnK}@e@vA_DaBhCl@`BcHbOgGxFwCj@xAdF]b@w@_CxAbBsAsGgNfMwFjL_Ut\sj@vt@uCdJcErd@gBlHgQlZiOrOgN~YuKlb@eHp_@nBpk@bA|IvAnc@cBvc@z@vB[hVgDtc@eArRyFde@_Kbk@iJ~^eF~P_BnBqIhYsCjPl@fAkAlOCtLfA|OtBtJzKdYnKv^w@rGaCbFmB~IOtJwB~OIha@cLfz@uPhs@yIzY}\`_AiF`KwErDzCrHcTzHq^`Doz@qEw{@sP{SnCwB`C{GbAWpdArBvzAsF|b@oAt`AgKzr@{JlvA}J~w@FrOyAdHlKvO}HbDmBfFsD|q@^fAuGnfBd@bKjDrNd@dIk@~FwFzTgJnvAnBb`@hGp]y@~hC}CdLkGlKyPpl@cDfGmhBngBiJjT_Kvg@o_@`UiBzDgCAyJdHkICkC~AkGxVmHvK{Er@gBhAoUjXGnBsHbJkDvPcFiJeOvZwGlIye@~V_FoAVbD{N|GyIrJeW|d@aPlSqa@b\kNpQkG}AsCfLga@vd@eO|\oHrJh@hFc@|BqBbDsAcB{U~a@hBfCiErKkBzJ{@lc@gBdO_a@bkAsG`HqNhBmKhHyIdLqZjh@~BvgAe@~@bJzyEfJ`C|CzGzAdKp@rWvBdJ~@tQxOfn@fKrf@_@nBvFvQzIjQpDrZdA~A|Jve@bx@boCpLvZlWlLdD`l@o@pAxEjq@fEpTl@xKdGfa@~YhhA`b@~bAvnAnpCvGnZnAfZcAhSyDnUqI`[G`IbTvo@~GdLeIhRsCdOmJryAjJf]iGdFuLHmBnMq@n@~ErrAWxIqDzWfArn@EnZcDz]EnTaAvSbCbm@uGtHr@hC_@`AhBjGoCzEjKj\hBdC|@SzE|^hF|Dt@tF`Uzp@`Cy@gAvDrFtQh@vAdGtByBle@`Hbh@jE~d@qE|ByI{Dc@`C,2,,,,
10,2,Ochtendrit,135225.0,18617,34075,746.0,Ride,10.0,2602027905,garmin_push_3929640858,2760767656.0,2019-08-08T07:00:39Z,2019-08-08T09:00:39Z,(GMT+01:00) Europe/Berlin,7200.0,"[50.630522, 8.170598]","[50.699698, 7.09163]",,,The Netherlands,50.630522,8.170598,0,22,0,3,0,False,False,False,False,everyone,False,b5474373,False,2760767656,7.264,19.6,23.0,115.6,2151.7,False,False,False,False,558.8,58.6,0,1,False,,4591892,1,a2602027905,ww_tHeyzp@uB}F|IkMzFtGzR|VrBj_@|HbIwDhFa@pPeJhDjCreAsCjTs@hs@aHzQqp@zr@~K`x@dWjqDtOlw@|HtInJqHrd@_Cra@bz@jFvCn^xBbf@tOvfAbKrSuGtn@tvAvKtMRvJpXfo@|E~ZdMvYhH|h@jk@bWfG`QlWvDbJzJ`b@xN`WdBzDdFbKpQq@~H~Ehe@vDzkA}Bda@hLb]vn@xo@fKxg@|MxJ~NfB|GvZ|VxNJxVfB|X`I`YdSx]fN|MtZxi@`Ox\bDj`@vO~l@rRpEfLp\zSjL|Lzn@ju@zaBbIz`@bI|tBqTv}@pH~m@vLvh@gCfoAbEpg@~F|XaBrJvBbHeTdiAfA|B}SbQpDlYuNfX{A|KjB`QxGjJ`e@zR~BrGoCzRbAx]lGh`@n@zeAbGv]lMhXnCxOhQrCvBnBVxH~NjEfUpUtFAz@dJeKtm@pWrc@nKbd@z@zb@eEnYTd`@nC|MjTx^vMzDxSjSd]tRvUth@dKz`@dF|BzHpb@~p@fh@fBrIeDbPzJnWzK`DdMuHbCvHlRjNnGlXdTfIvNMlGna@f[~_@dGnUhRiNlbAq]r_Ave@pjAl\zc@cC~NbE`AlJmKvk@uIlDyFvl@qDzBsXkKuSvBgFmKci@h@uOvF}FqN_\ya@iH}k@aO`NyZhl@wCy@iWxh@xXii@`QlWaYbn@sBgAyIzOoLa@uFoIoJzXa`@du@ee@fp@gUfbA}Eli@aLfk@yJfkA`L|s@fWjp@hU`kBzBlq@qH~_BaSf}@eRn`@kh@lf@gk@jZof@x`@}Wxj@g@hExPdFiEtb@lXnO|G}@gU~bAsFnj@qLzCRhd@oI~j@x@fD}MrXsNjqAkS|f@eIv\{x@fjAmOrLot@nXol@dv@yIpNaApH}Dp@wZr^cYjg@of@xb@i_@jq@uVr[oEkGue@da@}]vRqtDz_Bsj@tPmIwEoInAuVhKin@bh@}Xfd@yLde@aUxdDoIzo@k[~l@a[n]wTrIgSUs`@{YwaAbMg_@pP}NqEmVh@o@aI{UUqu@tVwwAEusAjqA_lAv`Aoo@nq@kzAbj@ae@l^}^hn@iVlx@eH|g@fD_BdH~FhDsCAtPcGdNfCbHuHbb@oIlRvMn_@dN{KvFpRgBbEzSz{@sAxDjB]fBfE`@rNxJlQOfEbh@v_@yBxG,2,,,,
